publish_date,title,source,nvda_relevance,overall_sentiment_score,url,summary
2022-08-08 16:52:00,"Nvidia is hit by another ‘crypto hangover,’ and that isn’t the only problem",MarketWatch,1.0,-0.238619,https://www.marketwatch.com/story/nvidia-is-hit-by-another-crypto-hangover-and-that-isnt-the-only-problem-11659991965?gaa_at=eafs&gaa_n=AWEtsqeW-cx0JDHRHV3Ks0Ewpgy6BD9JozhLHTJzK5rnnK0qpmuCnHG9JYFw&gaa_ts=69079e81&gaa_sig=N3reemoQ7fRSkIUEelQCOA4MustJFnNvNaSAlRZNSZD7PsWNBz7mGgDdJ1Q9p1gg40nFD-oMmYChTH_MhwzWRw%3D%3D,"Nvidia is facing a ""crypto hangover"" and other issues as the pandemic-era booms in PC sales, videogames, and cryptocurrency decline. The company warned of a $1.4 billion revenue shortfall due to weak gaming equipment sales and excess inventory. Nvidia's stock fell 6.3% on the news, reflecting broader concerns about multiple challenges impacting its core business."
2022-08-08 09:26:54,Nvidia Warns of Sales Shortfall as Gaming Revenue Drops,The Wall Street Journal,1.0,-0.616175,https://www.wsj.com/business/earnings/nvidia-warns-of-sales-shortfall-as-gaming-revenue-drops-11659969222?gaa_at=eafs&gaa_n=AWEtsqdgPgIzL-P0Bg_fq9LKORdBUlvgjOOrn9aiH8cMn8h3zUMeR-kgH-CB&gaa_ts=699acf61&gaa_sig=EwZn58qVhQiOJVwg9E03J5kQ_n_5wbzVSzaL5-lAcDsB6hiT7NZGVlPnsbdnXhhtQeTbWj-JNHWzBaQWbX4OdQ%3D%3D,"Nvidia Corp. announced a significant sales shortfall for the quarter ending July 31, expecting revenue of $6.7 billion, which is 17% below its May forecast. This reduction is primarily due to a 33% drop in gaming revenue, signaling a potential slowdown in the computer chip market after a pandemic-era boom. The company's stock experienced a decline following this announcement."
2022-08-03 20:47:00,Pelosi’s Taiwan trip puts the world's biggest chipmaker back in the spotlight of U.S.-China rivalry,CNBC,0.605171,-0.056017,https://www.cnbc.com/2022/08/04/pelosi-taiwan-visit-puts-tsmc-back-in-spotlight-of-us-china-rivalry.html,"Nancy Pelosi's visit to Taiwan brought renewed attention to the island's critical role in the global chip supply chain, specifically highlighting Taiwan Semiconductor Manufacturing Co. (TSMC), a key manufacturer for tech giants like Apple and Nvidia. The visit underscored the strategic importance of semiconductors to U.S. national security and its rivalry with China. TSMC's dominance in the foundry market and the ongoing U.S. efforts to boost domestic chip manufacturing and secure supply chains were central themes, with concerns about China's potential actions towards Taiwan posing a significant risk to the global chip market."
2022-08-02 09:32:09,UCIe™ (Universal Chiplet Interconnect Express™) Consortium Announces Incorporation and New Board Members; Open for Membership,Business Wire,0.93728,0.533929,https://www.businesswire.com/news/home/20220802005203/en/UCIe-Universal-Chiplet-Interconnect-Express-Consortium-Announces-Incorporation-and-New-Board-Members-Open-for-Membership,"The UCIe™ (Universal Chiplet Interconnect Express™) Consortium has officially incorporated and announced new board members, including Alibaba and NVIDIA, joining founding members like ASE, AMD, Intel, and Samsung. The consortium aims to advance the UCIe specification to create a universal and interoperable chiplet ecosystem, with the UCIe 1.0 specification already available for download. They are actively seeking new members to contribute to the development of future specifications."
2022-07-28 10:29:22,"Enabling Enterprise Cybersecurity Protection with a DPU-Accelerated, Next-Generation Firewall",NVIDIA Developer,0.923155,0.323404,https://developer.nvidia.com/blog/enabling-enterprise-cybersecurity-protection-with-a-dpu-accelerated-next-generation-firewall/,"NVIDIA and Palo Alto Networks have collaborated to enhance cybersecurity by accelerating VM-Series Next Generation Firewalls (NGFW) using NVIDIA's BlueField Data Processing Unit (DPU). This partnership provides a 5x performance boost and significant CapEx savings by offloading packet inspection from host CPUs to the DPU. The joint solution includes an Intelligent Traffic Offload (ITO) service that optimizes firewall resources, ensuring deep security inspection only for necessary payload flows, thereby improving efficiency and enabling comprehensive zero-trust protection across all hosts."
2022-07-28 10:27:21,Pony.ai Express: New Autonomous Trucking Collaboration Powered by NVIDIA DRIVE Orin,NVIDIA Blog,1.0,0.424082,https://blogs.nvidia.com/blog/pony-ai-sany-autonomous-trucking-drive-orin/,"Pony.ai and SANY Heavy Truck, China's largest heavy equipment manufacturer, have partnered to develop level 4 autonomous trucks using NVIDIA DRIVE Orin. The collaboration aims to address the rapidly growing package delivery market and driver shortages, with small-scale deliveries starting this year and mass production by 2024. The venture plans to produce approximately 10,000 trucks annually, leveraging NVIDIA DRIVE Orin's high-performance compute capabilities for safe and efficient autonomous operations."
2022-07-27 10:31:03,Pony.ai and SANY Establish Joint Venture to Develop Next Generation of Autonomous Trucks for Mass Production,Business Wire,0.735325,0.704001,https://www.businesswire.com/news/home/20220727006184/en/Pony.ai-and-SANY-Establish-Joint-Venture-to-Develop-Next-Generation-of-Autonomous-Trucks-for-Mass-Production,"Pony.ai and SANY Heavy Truck have formed a strategic joint venture to develop and mass-produce next-generation Level 4 autonomous trucks. The collaboration aims to integrate Pony.ai's autonomous driving technology with SANY's heavy truck manufacturing expertise, with small-scale deliveries planned for 2022-2023 and mass production targeting 10,000 units annually by 2024. This partnership is expected to create a sophisticated intelligent logistics ecosystem, enhance road safety, reduce costs, and significantly lower greenhouse gas emissions by focusing on new energy vehicles."
2022-07-27 10:26:31,Nomura Malaysia launches Global Shariah Semiconductor Equity Fund,bernama,0.645433,0.341644,https://www.bernama.com/en/news.php?id=2104383,"Nomura Asset Management Malaysia Sdn Bhd has launched its Global Shariah Semiconductor Equity Fund to provide investors access to the rapidly expanding semiconductor sector, driven by global digitalisation trends and the rollout of 5G networks. The fund aims to capitalize on the increasing demand for semiconductor chips by focusing on high-growth potential Shariah-compliant companies with strong financials and intellectual property. This fund is the first of its kind in Malaysia, with Nomura Asset Management UK Ltd acting as the investment adviser."
2022-07-27 09:53:08,Arm: Business Strategy—SoftBank Group Report 2022,ソフトバンクグループ株式会社,0.641036,0.386381,https://group.softbank/en/ir/financials/annual_reports/2022/message/arm,"This article details Arm's business strategy as presented in the SoftBank Group Report 2022. It covers Arm's role as a global leader in semiconductor technology, its licensing business model, and strategic investments in R&D to maintain market leadership and expand into new areas like autonomous vehicles and IoT. The report highlights significant growth in both technology royalty and non-royalty revenues in fiscal 2021 and discusses the leadership transition with Rene Haas appointed as CEO."
2022-07-25 10:17:08,Intel to produce chips for MediaTek as part of new partnership,SiliconANGLE,0.564372,0.342876,https://siliconangle.com/2022/07/25/intel-produce-chips-mediatek-part-new-partnership/,"Intel will manufacture chips for MediaTek, a Taiwan-based semiconductor maker, as part of a new partnership announced today. MediaTek, a fabless chip designer, will use Intel's manufacturing facilities to produce chips for various ""smart edge devices"" using Intel's 16 manufacturing process. This deal is a significant achievement for Intel's Intel Foundry Services (IFS) business, which was established last year to produce chips for other companies based on their custom designs."
2022-07-19 10:27:21,Rescale integrates Nvidia’s AI software to power digital twins for the industrial metaverse,SiliconANGLE,1.0,0.436876,https://siliconangle.com/2022/07/19/rescale-integrates-nvidias-containerized-ai-software-power-digital-twins-industrial-metaverse/,"Rescale Inc. has integrated Nvidia's AI software into its platform to simplify the creation of digital twins for industrial applications, supporting the development of the ""industrial metaverse."" This partnership allows Rescale customers to access GPU-optimized software, including Nvidia's NGC Catalog and Modulus neural network platform, enhancing the physical accuracy of digital twins with AI-assisted engineering. The collaboration aims to accelerate innovation by providing engineers and scientists a robust foundation for building and testing designs virtually, as exemplified by Hankook Tire's use of Rescale's technology."
2022-07-18 17:18:00,Nancy Pelosi's husband buys millions of dollars’ worth of Nvidia stock ahead of vote on chip-manufacturing bill,MarketWatch,1.0,-0.406445,https://www.marketwatch.com/story/nancy-pelosis-husband-buys-millions-worth-of-nvidia-stock-ahead-of-chip-manufacturing-bill-vote-11658179117?gaa_at=eafs&gaa_n=AWEtsqfBTlzcxo9xKM3ZTq0wf-L5VFbPEbopBNBKiXqyk_Zoe2QvMCn-nDcw&gaa_ts=699add8c&gaa_sig=0tR0J8cKhNzZCtc9qlaRXzlTX5khvIizbCdgWq393sMBY2ny6M1XnTxwwpu63raCjUxMStWHm7CdTRlP7toNdg%3D%3D,"Paul Pelosi, husband of House Speaker Nancy Pelosi, purchased between $1 million and $5 million in Nvidia stock in June. This transaction occurred ahead of an anticipated congressional vote on a bill aimed at boosting domestic semiconductor manufacturing. The disclosure shows the investment in the software and computer-chip company Nvidia."
2022-07-14 17:07:02,Intel To Hike Chip Prices As Semiconductor Giant Deals With Inflation,CRN Magazine,0.6187,-0.138881,https://www.crn.com/news/components-peripherals/intel-to-hike-chip-prices-as-semiconductor-giant-deals-with-inflation,"Intel has announced price increases across its product lines, including chipsets and microprocessors, by as much as 20 percent, effective in Q4 2022. The company attributes these hikes to inflationary pressures, rising material costs, and increased production expenses. Other companies in the semiconductor industry, including TSMC and various material suppliers, are also implementing price increases, suggesting a broader trend of rising costs in the tech sector."
2022-07-14 10:24:55,Chip Shortage Turns into Surplus,VOA - Voice of America English News,0.8331,-0.227439,https://learningenglish.voanews.com/a/chip-shortage-turns-into-surplus/6657200.html,"The global chip shortage, exacerbated by the coronavirus pandemic and high demand for electronics, has unexpectedly turned into a surplus due to high inflation, China's COVID restrictions, and the war in Ukraine, which reduced consumer spending. This shift has severely impacted semiconductor stocks, with companies like Micron Technology reducing production and manufacturers, especially in computing and smartphones, now facing an oversupply. The situation is worsened by hoarding practices, though some sectors like Apple suppliers and, for now, automobile chipmakers, are less affected."
2022-07-12 10:27:21,NVIDIA Announces Hybrid Quantum-Classical Computing Platform,NVIDIA Newsroom,1.0,0.410551,https://nvidianews.nvidia.com/news/nvidia-announces-hybrid-quantum-classical-computing-platform,"NVIDIA has introduced QODA (Quantum Optimized Device Architecture), a unified computing platform designed to accelerate quantum research and development across various fields such as AI, HPC, health, and finance. QODA aims to make quantum computing more accessible by providing a coherent hybrid quantum-classical programming model, enabling developers to integrate quantum computing into existing applications. The platform has already garnered collaborations with leading quantum hardware providers, software providers, and supercomputing centers."
2022-07-12 10:27:21,Nvidia unveils QODA platform to accelerate hybrid quantum-classical computing research,SiliconANGLE,1.0,0.475239,https://siliconangle.com/2022/07/12/nvidia-unveils-qoda-platform-accelerate-hybrid-quantum-classical-computing-research/,"Nvidia has launched its Quantum Optimized Device Architecture (QODA) platform, designed to accelerate hybrid quantum-classical computing research. QODA aims to streamline development by providing a unified environment for supercomputers and quantum processors. This platform allows developers to integrate classical computing resources with quantum hardware from various partners, fostering breakthroughs in areas like chemistry and drug discovery."
2022-07-11 18:55:54,"Teledyne FLIR Introduces Prism AI, Software for the Development of Automotive Thermal Perception Systems",ActuIA,0.626857,0.236873,https://www.actuia.com/en/news/teledyne-flir-introduces-prism-ai-software-for-the-development-of-automotive-thermal-perception-systems/,"Teledyne FLIR has introduced Prism AI, a software framework designed to help automotive engineers integrate thermal cameras into advanced driver assistance systems (ADAS) and autonomous vehicle (AV) systems. Prism AI offers features like visible and thermal image fusion, enhancing detection of pedestrians and animals, especially in low-light conditions. This development aims to improve road safety and assist OEMs in meeting upcoming regulatory requirements for nighttime collision prevention."
2022-07-04 17:56:12,Artificial Intelligence at Nvidia – Two Current Use Cases,Emerj Artificial Intelligence Research,1.0,0.374883,https://emerj.com/artificial-intelligence-at-nvidia/,"This article examines two current use cases of Artificial Intelligence at Nvidia. The first use case details how Nvidia uses machine learning to enhance video resolution and audio quality during real-time video calls. The second use case explains how Nvidia, in collaboration with Adobe, uses AI algorithms to analyze marketing campaign effectiveness and optimize sales for a new GPU line."
2022-07-04 10:44:33,WNS acquires Vuram for $165Mn,www.varindia.com,0.606094,0.209732,https://www.varindia.com/news/wns-acquires-vuram-for-165mn,"WNS (Holdings) Limited has acquired Chennai-based enterprise automation services provider Vuram for $165 million. This acquisition will expand WNS' intelligent automation capabilities and is expected to add approximately 2 percent to WNS’ net revenue in fiscal 2023, while also being accretive to adjusted earnings for the same fiscal year. Both companies anticipate enabling clients to accelerate automation, optimization, and transformation of their business models."
2022-06-29 11:21:28,Siemens and NVIDIA to Enable Industrial Metaverse,NVIDIA Newsroom,1.0,0.426496,https://nvidianews.nvidia.com/news/siemens-and-nvidia-to-enable-industrial-metaverse,"Siemens and NVIDIA announced an expanded partnership to create an industrial metaverse by connecting Siemens Xcelerator and NVIDIA Omniverse platforms. This collaboration aims to transform the manufacturing industry by enabling full-fidelity digital twins and integrating AI systems from edge to cloud. The goal is to accelerate the use of digital twins, improve productivity, and facilitate immersive, physics-based simulations for faster and more confident decision-making across product lifecycles."
2022-06-24 08:30:40,7 Top Metaverse Stocks with Massive Potential,InvestorPlace,0.619104,0.325125,https://investorplace.com/2022/06/7-top-metaverse-stocks-with-massive-potential/,"The metaverse market is projected to reach $5 trillion by 2030, with a significant majority of consumers and industry leaders anticipating positive impacts. This article highlights seven top metaverse stocks and ETFs, including Global X Metaverse ETF (VR), ProShares Metaverse ETF (VERS), Roundhill Ball Metaverse ETF (METV), Meta Platforms (META), Nvidia (NVDA), Roblox (RBLX), and Unity Software (U), recommending them as key investment opportunities in this emerging sector. It notes that many of these stocks are currently oversold, presenting potential for future gains as the metaverse concept gains traction."
2022-06-20 11:24:38,Power GaN market to hit $2bn in 2027,Electronics Weekly,0.628695,0.309605,https://www.electronicsweekly.com/news/business/798258-2022-06/,"The power GaN market is projected to reach $2 billion by 2027, driven significantly by consumer products, which are expected to account for 48% of the market. Key growth areas also include datacom/telecom due to stricter regulations and increasing adoption of 48V-Point-Of-Load systems, as well as the automotive sector with GaN finding its way into DC-DC converters and OBCs. The market is also seeing new players, increased investments, and efforts to reduce manufacturing costs through 8-inch wafer capacity expansion and supply chain consolidation."
2022-06-17 18:57:32,$6.5B Texas Instruments Fab Could Be First of Four at Site Totaling $30B,Engineering News-Record | ENR,0.648443,0.352513,https://www.enr.com/articles/54315-65b-texas-instruments-fab-could-be-first-of-four-at-site-totaling-30b,"Texas Instruments plans to build up to four semiconductor chip fabrication plants in Sherman, Texas, with the first $6.5 billion fab already under construction and expected to begin production in 2025. The total investment for all four plants could reach nearly $30 billion, supported by significant local incentives. This development is part of a broader U.S. push to increase domestic semiconductor manufacturing amidst global shortages."
2022-06-15 11:21:29,All-In-One Financial Services? Vietnam’s MoMo Has a Super-App for That,NVIDIA Blog,1.0,0.344014,https://blogs.nvidia.com/blog/momo-app-financial-service/,"Vietnam-based fintech company MoMo has developed a super-app providing all-in-one financial services to over 30 million users. The company leverages NVIDIA GPUs and AI, specifically NVIDIA DGX systems, TensorRT, and Triton Inference Server, to enhance its chatbots, eKYC systems, recommendation engines, and credit scoring models. MoMo's use of AI has significantly sped up development, improved performance, and allowed for more accurate risk assessment, with plans to expand into graph neural networks and potentially make traditional credit scores obsolete."
2022-06-13 16:36:00,Advanced Micro Devices Inc. stock underperforms Monday when compared to competitors,MarketWatch,0.730777,-0.315798,https://www.marketwatch.com/story/advanced-micro-devices-inc-stock-underperforms-monday-when-compared-to-competitors-01655152587-ccc90936b78d?gaa_at=eafs&gaa_n=AWEtsqdDCpG5oop572C-ksTrs0_qndfF-kc8_bYdguBZY9Scz3rq9y-8CHcT&gaa_ts=699ae27f&gaa_sig=6fqLG7Q63GZ8WQlVorwtPkBHY_Tmy-MVKDgXSe8SOn0OU69KzkBGFlhDWLa0Pk18L5L9NZZBrlk0zigMQUFiVw%3D%3D,"Shares of Advanced Micro Devices Inc. (AMD) fell 8.26% on Monday, closing at $86.99, amidst a general market downturn with the S&P 500 and Dow Jones also dropping. The stock recorded its seventh consecutive day of losses and underperformed against competitors such as NVIDIA Corp., Intel Corp., and Texas Instruments Inc. Trading volume for AMD was also below its 50-day average."
2022-06-13 00:40:00,"AMD Reveals Roadmap for Zen 4-based laptop CPU, Zen 5, RDNA 3, and RDNA 4",Tech Times,0.609348,0.22615,https://www.techtimes.com/articles/276615/20220613/amd-reveals-roadmap-for-zen-4-based-laptop-cpu-zen-5-rdna-3-and-rdna-4.htm,"AMD has unveiled its roadmap for upcoming processors and graphics architectures, including the Zen 4-based Ryzen 7000 series, Zen 5, and RDNA 3, with RDNA 4 slated for 2024. The Zen 4 architecture promises significant performance and efficiency gains, competing with Intel's offerings, while Zen 5 will be a ground-up redesign with AI and machine learning enhancements. The RDNA 3 graphics architecture will be chipset-based and on a 5nm architecture, aiming for 50 percent better performance per watt than its predecessor."
2022-06-10 14:29:02,Fortinet (FTNT) to Split Stock in 5 to Attract More Investors,Yahoo Finance,0.627099,0.222517,https://finance.yahoo.com/news/fortinet-ftnt-split-stock-5-142902983.html,"Fortinet (FTNT) announced a five-for-one forward stock split to make its shares more accessible to employees and retail investors, with stockholder approval scheduled for June 17. If approved, the stock price will drop from approximately $300 to $60 per share. This move follows similar stock splits by other major tech companies like Alphabet, Amazon, and NVIDIA, aiming to boost demand and potentially increase share prices."
2022-06-10 12:51:00,Is the Roundhill Ball Metaverse ETF (METV) Right for You?,Market Realist,0.781274,0.353797,https://marketrealist.com/p/roundhill-ball-metaverse-etf-metv-holdings/,"The Roundhill Ball Metaverse ETF (METV) offers investors diversified exposure to companies benefiting from the metaverse's growth. This article examines METV's top holdings, including Meta Platforms, Nvidia, Roblox, Microsoft, and Autodesk, highlighting their roles in the metaverse ecosystem. It also discusses the fund's expense ratio and the potential market size of the metaverse industry."
2022-06-09 11:21:29,Nvidia’s Data Center Segment Becomes its Biggest Revenue Contributor for Q1 2022,Counterpoint Research,1.0,0.483644,https://counterpointresearch.com/en/insights/nvidias-data-center-segment-becomes-biggest-revenue-contributor,Nvidia's data center segment has surpassed its gaming segment to become the largest revenue contributor for the company in Q1 2022. This shift signifies the growing importance of AI and cloud computing in Nvidia's business model. The article highlights this significant financial performance change for Nvidia.
2022-06-08 11:30:00,TSMC Chairman Mark Liu on the revolution in semiconductors,Fortune,0.64523,0.37468,https://fortune.com/2022/06/08/tsmc-semiconductors-5g-artificial-intelligence-high-performance-computing-mark-liu/,"TSMC Chairman Mark Liu discusses how 5G, A.I., and high-performance computing (HPC) are ushering in a ""golden era"" for the semiconductor industry. He highlights how continuous innovation, exemplified by the pure-play foundry model pioneered by TSMC, has driven down costs and enabled widespread technological adoption. Liu projects significant growth for the industry, emphasizing the increasing value and omnipresence of semiconductors in modern society and foreseeing their critical role in future applications like VR/AR and personalized medicine."
2022-06-06 11:13:23,OpenLight launches as fabless silicon photonics outfit,The Register,0.593419,0.299366,https://www.theregister.com/2022/06/06/openlight_silicon_photonics/,"OpenLight, a new company formed by Synopsys and Juniper Networks, has launched with the goal of accelerating silicon photonics development. The company specializes in integrated on-chip lasers for high-performance photonic integrated circuits, using Tower Semiconductor's PH18DA fabrication process. OpenLight aims to overcome the challenge of integrating laser sources directly onto silicon photonics wafers, reducing costs and improving power efficiency for various applications like data communications, AI, and optical computing."
2022-05-31 17:56:11,Los Alamos National Laboratory Announces Details Of Supercomputer Collaboration With Nvidia,Los Alamos Reporter,1.0,0.35651,https://losalamosreporter.com/2022/05/31/los-alamos-national-laboratory-announces-details-of-supercomputer-collaboration-with-nvidia/,"Los Alamos National Laboratory (LANL) announced new details of its supercomputer collaboration with Nvidia and HPE, resulting in the ""Venado"" system. Venado will be the first U.S. customer to receive an Nvidia Grace central processing unit and will utilize a balanced architecture optimized for diverse scientific research, from materials science to power-grid modeling. It represents a significant step in developing a robust software ecosystem and leadership-class computing capabilities for the Laboratory, with delivery expected in 2023."
2022-08-25 09:00:41,Corsair Reveals Bendable OLED Ultrawide Gaming Monitor,Tom's Hardware,0.644625,0.362084,https://www.tomshardware.com/news/corsair-bendable-oled-gaming-ultrawide,"Corsair has introduced the Xeneon Flex 45WQHD240 OLED, a 45-inch ultrawide gaming monitor featuring a bendable OLED panel from LG. This monitor offers user-adjustable curvature up to 800R, or it can remain perfectly flat for productivity. It boasts impressive specs including a 0.03ms response time, 240Hz refresh rate, and 1000 nits peak brightness, making it suitable for immersive gaming and HDR content."
2022-08-18 09:26:54,Startup Digs Into Public Filings With GPU-Driven Machine Learning to Serve Up Alternative Financial Data Services,NVIDIA Blog,0.93674,0.304497,https://blogs.nvidia.com/blog/gpu-driven-machine-learning-alternative-financial-data-services/,"Intrinio, a startup based in St. Petersburg, Fla., uses GPU-driven machine learning to parse publicly available financial data, offering an alternative to traditional, bundled financial data products. Co-founded by Rachel Carpenter and Joseph French, Intrinio provides à la carte subscription services for equities, options, estimates, ETFs, and ESG data, making it more affordable and accessible for fintech innovators and startups. The company's technology significantly reduces errors and streamlines data cleansing and standardization, allowing clients like Robinhood, FTX, and Aiera to integrate high-quality financial data into their platforms."
2022-08-10 00:00:00,Chipmakers tumble on fears of worst downturn in 10 years,Al Jazeera,0.833596,-0.603652,https://www.aljazeera.com/economy/2022/8/10/chipmakers-tumble-on-fears-of-worst-downturn-in-a-decade,"Semiconductor stocks experienced a significant downturn following Micron Technology Inc.'s warning of slowing demand, raising concerns about the industry heading into a prolonged slump. Analysts believe the sector is entering its worst downturn in a decade, affecting every company and end market. Despite recent shortages and investments, the rapid evaporation of demand has taken experts by surprise, with some companies like Micron already cutting future spending."
2022-08-09 23:20:00,Nasdaq closes lower as chipmaker Micron's warning renews tech rout,Reuters,0.704817,0.02966,https://www.reuters.com/markets/europe/sp-500-nasdaq-futures-slip-after-chipmaker-microns-warning-2022-08-09/,"The Nasdaq closed lower on Tuesday following a grim forecast from Micron Technology, which dragged down chip makers and tech stocks. Investors are now anticipating critical U.S. inflation data, which could influence the Federal Reserve's future interest rate decisions to curb inflation. High inflationary figures, especially after a strong jobs report last week, would likely halt any near-term easing of rate hikes and potentially stop the market's recent rally."
