event_date,publish_date,title,source,nvda_relevance,nvda_sentiment_score,overall_sentiment_score,url,summary,finbert_local_score
2023-11-01,2023-11-01 13:09:26,How To Give Your Passive Investing Approach Some Much-Needed Oomph,Finimize,0.60111,0.500178,0.483849,https://finimize.com/content/how-give-your-passive-investing-approach-some-much-needed-oomph,"This article explores factor investing, also known as ""smart beta,"" as a way to enhance passive investing strategies. It discusses the performance of five popular factors—value, quality, momentum, minimum volatility, and size—highlighting quality as the best performer over the past five years. The piece also suggests considering multifactor ETFs like the iShares US Equity Factor ETF (LRGF) for diversified exposure to these factors.",0.0
2023-11-01,2023-11-01 03:30:00,Will AI Spark a Boom in Data Centre Real Estate?,CMC Markets,0.735777,0.412982,0.280618,https://www.cmcmarkets.com/en-au/opto/will-ai-spark-a-boom-in-data-centre-real-estate,"The article discusses how the rise of AI and other disruptive technologies is driving an increase in demand for data centers, potentially tripling global capacity in six years. It highlights data center real estate stocks, such as Digital Realty Trust and Global X's Data Centre REITs & Digital Infrastructure ETF, as a focused investment opportunity, noting their inflation-resistant nature and tax benefits. The article also touches on the geographical shift in data center placement, with growth in less expensive locations like the US Midwest.",0.0
2023-11-01,2023-11-01 19:42:43,Automotive Digitalization Sparks Big Growth For Chips And Design Tools,Forbes,0.716905,0.312516,0.357089,https://www.forbes.com/sites/davealtavilla/2023/11/01/automotive-digitalization-sparks-big-growth-for-chips-and-design-tools/,"The automotive industry is experiencing significant growth in semiconductor dependency due to innovations like autonomous driving, advanced driver-assist features, and infotainment systems. This surge is driven by the adoption of a ""software-defined vehicle"" concept and a scalable, zonal digital chassis architecture. Companies like Cadence Design Systems are playing a crucial role by providing tools for chip design, system modeling, simulation, and multiphysics analysis to support this technological transformation.",0.8644730448722839
2023-11-01,2023-11-01 15:26:00,AMD soars as AI chip sales prediction bodes well for rivalry with Nvidia,Reuters,0.828656,0.338511,0.37934,https://www.reuters.com/technology/amd-rises-ai-chip-sales-prediction-bodes-well-rivalry-with-nvidia-2023-11-01/,"Advanced Micro Devices (AMD) shares jumped 8% after CEO Lisa Su provided an upbeat 2024 sales forecast of over $2 billion for its MI300 AI chips, positioning AMD as a clear second source to Nvidia in the AI accelerator market. This prediction helped alleviate concerns about a disappointing fourth-quarter forecast despite at least 18 analysts cutting price targets due to conservative forecasts and weakness in other AMD markets. The MI300 is set to become AMD's fastest product to reach $1 billion in sales, having secured commitments from multiple large hyperscale customers.",0.9405959248542786
2024-02-08,2024-02-07 11:06:00,Morgan Stanley hikes Nvidia price target ahead of earnings: 'AI demand continues to surge',CNBC,1.0,0.402617,0.378213,https://www.cnbc.com/2024/02/07/morgan-stanley-hikes-nvidia-price-target-ahead-of-earnings-ai-demand-continues-to-surge.html,"Morgan Stanley has increased its price target for Nvidia to $750 from $603, reiterating an overweight rating, citing strong near-term demand for AI processors. This new target suggests a 10% upside for the AI chipmaker, which has seen its stock surge significantly recently. Analyst Joseph Moore notes that while there are concerns about sustainability, the current AI demand remains robust.",0.7294409871101379
2024-02-08,2024-02-08 16:44:17,"Protein Analyzer Market revenue to hit USD 6 Billion by 2033, says Research Nester",GlobeNewswire,0.65944,0.310706,0.322116,https://www.globenewswire.com/news-release/2024/02/08/2825827/0/en/Protein-Analyzer-Market-revenue-to-hit-USD-6-Billion-by-2033-says-Research-Nester.html?utm_expid=61232524-5.L-xZGH_sRw6djtd4CZ9qqg.1page%2F13%2F,"The global protein analyzer market is projected to reach USD 6 billion by 2033, growing at a CAGR of over 8% from 2023, driven by changing lifestyles, increased consumption of specific beverages, and a rise in diagnostic tests. Key growth factors include the surging demand for protein supplements globally, particularly in North America, and the enhanced production of animal feed and fertilizers in the Asia Pacific region. The DUMAS technique is expected to hold the largest market share due to its efficiency and safety, while protein analysis services and kits will also see significant growth.",0.8974162936210632
2024-03-13,2024-03-13 00:00:00,These Bad Habits Hold Investors Back From Peak Performance,Morningstar,0.880889,0.267464,0.250705,https://www.morningstar.com/financial-advisors/these-bad-habits-hold-investors-back-peak-performance,"This article discusses how common investor bad habits, such as poorly timed buying and selling decisions driven by emotion and excessive activity, lead to underperformance compared to funds. It highlights the ""behavior gap"" and advises investors to focus on good habits and long-term goals rather than reacting to short-term market noise, political turbulence, or fear of missing out on high-performing stocks.",-0.8555322289466858
2024-08-01,2024-08-02 21:12:00,Intel shares slump 26% as turnaround struggle deepens,Reuters,0.601001,-0.208505,-0.598976,https://www.reuters.com/technology/intel-shares-set-fall-most-24-years-it-struggles-with-turnaround-2024-08-02/,"Intel's shares dropped 26% in their worst day since 1974 after the company suspended its dividend and announced a 15% workforce reduction to fund a costly turnaround strategy. The move, aimed at catching up with competitors like TSMC, resulted in a market value loss of over $30 billion. The disappointing forecast and job cuts have deepened investor concerns about Intel's ability to regain its once-dominant position in the chip manufacturing industry.",-0.9680330753326416
2024-08-01,2024-08-02 04:38:00,"Intel has worst day on Wall Street in 50 years, falls to lowest price in over a decade",CNBC,0.630154,-0.331656,-0.396144,https://www.cnbc.com/2024/08/02/intel-share-plunge-drags-down-global-chip-stocks-from-tsmc-to-samsung.html,"Intel's shares experienced their largest drop since 1974, plummeting 26% to their lowest price since 2013, after the chipmaker reported a significant earnings miss and announced a restructuring that includes laying off over 15% of its workforce. This downturn dragged down other global chip stocks like TSMC and Samsung, and contributed to a 2.4% drop in the Nasdaq. The company also reported a net loss of $1.61 billion, missed revenue expectations, and suspended its dividend, implementing a $10 billion cost-reduction plan.",-0.9539780020713806
2024-08-01,2024-07-31 12:39:00,Meta Platforms ahead of Q2 2024 earnings📊 What to expect?🔎,XTB.com,0.611316,0.107671,0.123759,https://www.xtb.com/en/market-analysis/meta-platforms-ahead-of-q2-2024-earnings-what-to-expect,"Meta Platforms is set to report its Q2 2024 earnings, with investors keenly focused on the health of its advertising segment, the impact of new AI products, and the company's margins amid high capital expenditures. Analysts expect revenues of $38.29 billion and EPS of $4.70, with particular attention on how AI translates into business growth and the potential benefits from a TikTok ban in the US. The market will also scrutinize Reality Labs' estimated operating loss and Meta's capital spending forecasts.",0.0
2025-02-02,2025-02-04 13:15:00,Intel Announces Another 58 Layoffs For Folsom Campus,Folsom Times,0.605989,-0.106753,-0.187238,https://folsomtimes.com/intel-announces-another-58-layoffs-for-folsom-campus/,"Intel has announced an additional 58 layoffs at its Folsom campus, continuing its cost-cutting measures due to stagnant sales and increased competition. This new round of job cuts, expected by March 31, follows previous significant reductions, with the Folsom workforce decreasing from over 6,000 in 2018 to under 4,000. The company is also planning to sell its 150-acre Folsom campus in a sale-leaseback deal as part of its broader restructuring efforts and aims to cut approximately 15,000 jobs globally.",-0.9574732780456543
2025-02-02,2025-02-04 05:16:10,1 ETF to Buy Hand Over Fist If You Believe in Elon Musk's Vision for America,The Globe and Mail,0.654012,0.293839,0.321909,https://www.theglobeandmail.com/investing/markets/stocks/MSFT/pressreleases/30761438/1-etf-to-buy-hand-over-fist-if-you-believe-in-elon-musks-vision-for-america/,"The article suggests investing in the Vanguard S&P 500 ETF (VOO) as a way to capitalize on Elon Musk's vision for a tech-powered American economy, especially given his new role in the Department of Government Efficiency. VOO offers diversified exposure to leading tech companies, aligning with pro-tech policies and significant investments in AI infrastructure by the current administration. The ETF is highlighted for its strong performance, low fees, and holdings in major tech giants.",0.0
2025-02-02,2025-02-03 07:35:48,Trump Pauses Tariffs on Mexico; DJIA Closes Down Only 122 Pts; Nasdaq Still Lags with 1%+ Drop,AASTOCKS.com,0.737053,-0.437064,-0.229929,https://www.aastocks.com/en/usq/quote/stock-news-content.aspx?symbol=F&id=NOW.1414523&source=AAFN,"US President Donald Trump postponed new tariffs on Mexico for a month after reaching an agreement on border troops, which slowed but didn't halt a stock market decline. The DJIA closed down 122 points, while the S&P 500 slipped 0.8% and the Nasdaq saw the steepest decline at 1.2%. The iShares MSCI Mexico ETF (EWW.US) rebounded, and major tech stocks like Tesla, Nvidia, and Apple saw losses narrow slightly.",-0.9688735604286194
2025-02-02,2025-02-03 00:00:00,Technology in 2025: The Cycle Rolls On,Goldman Sachs Asset Management,0.621478,0.339145,0.307207,https://am.gs.com/en-no/advisors/insights/article/2025/technology-in-2025-the-cycle-rolls-on,"Goldman Sachs Asset Management foresees a broadening tech cycle in 2025 beyond the ""Magnificent 7,"" driven by AI advancements. They anticipate significant investment opportunities in hyperscalers, software companies benefiting from AI, and ASIC semiconductor firms, emphasizing the role of active management to identify growth and manage risk. The article highlights sustained tech spending trends and optimism for ROI among hyperscalers despite large capital expenditures.",0.0
2025-02-02,2025-02-04 02:57:41,AI to drive 165% increase in data center power demand by 2030,Goldman Sachs,0.883593,0.431024,0.26947,https://www.goldmansachs.com/insights/articles/ai-to-drive-165-increase-in-data-center-power-demand-by-2030,"Goldman Sachs Research anticipates a significant surge in global data center power demand, projecting a 50% increase by 2027 and up to 165% by 2030 compared to 2023, primarily driven by the expansion of artificial intelligence. This growth will strain infrastructure, necessitating substantial investment in the electric grid and potentially affecting supply-demand balance for data centers, with occupancy rates expected to peak around 95% in late 2026 before moderating. The market expansion presents diverse investment opportunities across hyperscalers, asset managers, utilities, and data center operators.",0.8956030607223511
